PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
1108,Arts,neutral,background-song-with-lyrics,self-shot,Bengali
1109,Arts,affection,background-song-with-lyrics,self-shot,Bengali
1110,Couple Romance,affection,lip-syncing,reaction videos,Bengali
1111,Memes,happy,self-spoken-dialogues,movie/tv-show,Bengali
1112,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1113,Devotion,affection,background-song-with-lyrics,slideshow,Bengali
1114,Nature,neutral,self-spoken-dialogues,self-shot,Bengali
1115,Couple Romance,affection,lip-syncing,special-effects,Bengali
1116,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1117,Dance,happy,lip-syncing,collab,Bengali
1118,Fitness,happy,background-song-with-lyrics,self-shot,Bengali
1119,Onesided Romance,happy,lip-syncing,collab,Bengali
1120,Onesided Romance,affection,lip-syncing,self-shot,Bengali
1121,Music,sad,self-sung-song,videos-text-special-effects,Bengali
1122,Magic,surprise,background-song-with-lyrics,self-shot,Bengali
1123,News,happy,lip-syncing,self-shot,Bengali
1124,Arts,neutral,background-song-with-lyrics,self-shot,Bengali
1125,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1126,Family Comedy,happy,self-spoken-dialogues,videos-with-text,Bengali
1127,Couple Romance,affection,lip-syncing,collab,Bengali
1128,Dance,happy,lip-syncing,collab,Bengali
1129,Patriotism,neutral,background-song-with-lyrics,videos-with-text,Bengali
1130,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1131,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1132,Couple Romance,affection,lip-syncing,self-shot,Bengali
1133,Family Comedy,happy,lip-syncing,special-effects,Bengali
1134,Nature,neutral,background-song-with-lyrics,special-effects,Bengali
1135,Heartbreak Romance,happy,lip-syncing,special-effects,Bengali
1136,Family Comedy,happy,lip-syncing,reaction videos,Bengali
1137,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1138,Travel,neutral,background-song-with-lyrics,special-effects,Bengali
1139,Fashion,happy,background-song-with-lyrics,self-shot,Bengali
1140,Devotion,affection,background-song-with-lyrics,image,Bengali
1141,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1142,Couple Romance,affection,background-song-with-lyrics,slideshow,Bengali
1143,Couple Comedy,happy,self-spoken-dialogues,special-effects,Bengali
1144,Friends Comedy,happy,lip-syncing,self-shot,Bengali
1145,Patriotism,affection,lip-syncing,videos-text-special-effects,Bengali
1146,Couple Romance,affection,lip-syncing,collab,Bengali
1147,Nature,neutral,self-spoken-monologues,self-shot,Bengali
1148,Devotion,affection,background-song-with-lyrics,special-effects,Bengali
1149,Music,happy,self-sung-song,self-shot,Bengali
1150,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1151,Fitness,happy,background-song-with-lyrics,videos-with-text,Bengali
1152,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1153,Pranks,happy,self-spoken-dialogues,self-shot,Bengali
1154,Family Comedy,happy,lip-syncing,special-effects,Bengali
1155,Fitness,sad,background-song-with-lyrics,self-shot,Bengali
1156,Couple Comedy,surprise,lip-syncing,collab,Bengali
1157,Sports,confidence,lip-syncing,special-effects,Bengali
1158,Fashion,neutral,background-song-with-lyrics,self-shot,Bengali
1159,Celeb,neutral,background-song-with-lyrics,slideshow,Bengali
1160,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1161,Dance,happy,lip-syncing,special-effects,Bengali
1162,Dance,happy,lip-syncing,self-shot,Bengali
1163,Patriotism,affection,self-sung-song,special-effects,Bengali
1164,Fitness,neutral,self-spoken-dialogues,self-shot,Bengali
1165,Sports,neutral,background-song-with-lyrics,animation,Bengali
1166,Devotion,affection,self-spoken-monologues,videos-text-special-effects,Bengali
1167,Stunts,confidence,background-song-with-lyrics,self-shot,Bengali
1168,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1169,Devotion,affection,lip-syncing,self-shot,Bengali
1170,Couple Romance,affection,lip-syncing,collab,Bengali
1171,Fashion,neutral,background-song-with-lyrics,videos-text-special-effects,Bengali
1172,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1173,Sports,happy,self-spoken-dialogues,special-effects,Bengali
1174,Couple Romance,happy,lip-syncing,special-effects,Bengali
1175,Pets,neutral,background-song-with-lyrics,special-effects,Bengali
1176,Stunts,confidence,background-song-with-lyrics,self-shot,Bengali
1177,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1178,Devotion,affection,lip-syncing,self-shot,Bengali
1179,Onesided Romance,happy,lip-syncing,special-effects,Bengali
1180,Heartbreak Romance,anger,lip-syncing,self-shot,Bengali
1181,Fitness,sad,self-spoken-monologues,self-shot,Bengali
1182,Family Comedy,happy,lip-syncing,self-shot,Bengali
1183,Pets,neutral,background-song-with-lyrics,self-shot,Bengali
1184,Pets,affection,background-song-with-lyrics,special-effects,Bengali
1185,Memes,happy,self-spoken-dialogues,movie/tv-show,Bengali
1186,Couple Romance,affection,background-song-with-lyrics,slideshow,Bengali
1187,Family Comedy,happy,lip-syncing,self-shot,Bengali
1188,Travel,happy,background-song-with-lyrics,self-shot,Bengali
1189,Sports,confidence,self-spoken-monologues,videos-text-special-effects,Bengali
1190,Devotion,affection,background-song-with-lyrics,animation,Bengali
1191,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1192,Photography,neutral,background-song-with-lyrics,special-effects,Bengali
1193,Friends Comedy,happy,self-spoken-dialogues,self-shot,Bengali
1194,Dance,happy,lip-syncing,reaction videos,Bengali
1195,Couple Romance,happy,lip-syncing,special-effects,Bengali
1196,Fitness,neutral,self-spoken-monologues,self-shot,Bengali
1197,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1198,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1199,Fitness,confidence,self-spoken-monologues,videos-with-text,Bengali
1200,Couple Romance,affection,lip-syncing,self-shot,Bengali
1201,Friends Comedy,happy,lip-syncing,self-shot,Bengali
1202,Kids Comedy,happy,background-song-with-lyrics,self-shot,Bengali
1203,Festival,neutral,background-song-with-lyrics,slideshow,Bengali
1204,Devotion,affection,background-song-with-lyrics,self-shot,Bengali
1205,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1206,Onesided Romance,happy,background-song-with-lyrics,special-effects,Bengali
1207,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1208,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1209,Devotion,affection,background-song-with-lyrics,self-shot,Bengali
1210,Couple Romance,affection,lip-syncing,self-shot,Bengali
1211,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1212,Animals,sad,instrumental,reaction videos,Bengali
1213,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1214,Travel,neutral,self-spoken-monologues,special-effects,Bengali
1215,Sports,happy,background-song-with-lyrics,videos-with-text,Bengali
1216,Onesided Romance,affection,lip-syncing,self-shot,Bengali
1217,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1218,Sports,neutral,background-song-with-lyrics,slideshow,Bengali
1219,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1220,Patriotism,affection,self-spoken-monologues,special-effects,Bengali
1221,Couple Romance,happy,lip-syncing,collab,Bengali
1222,Pets,neutral,background-song-with-lyrics,self-shot,Bengali
1223,Onesided Romance,affection,lip-syncing,self-shot,Bengali
1224,Heartbreak Romance,happy,background-song-with-lyrics,videos-text-special-effects,Bengali
1225,Devotion,neutral,self-spoken-monologues,slideshow,Bengali
1226,Devotion,affection,self-spoken-monologues,videos-text-special-effects,Bengali
1227,Family Comedy,happy,self-spoken-dialogues,videos-text-special-effects,Bengali
1228,Dance,happy,lip-syncing,special-effects,Bengali
1229,Couple Romance,affection,lip-syncing,self-shot,Bengali
1230,Animals,neutral,background-song-with-lyrics,videos-text-special-effects,Bengali
1231,Couple Romance,affection,lip-syncing,collab,Bengali
1232,Dance,happy,lip-syncing,self-shot,Bengali
1233,Friends Comedy,happy,background-song-with-lyrics,self-shot,Bengali
1234,Onesided Romance,happy,lip-syncing,collab,Bengali
1235,Couple Comedy,happy,lip-syncing,videos-with-text,Bengali
1236,Heartbreak Romance,sad,lip-syncing,collab,Bengali
1237,Pranks,happy,self-spoken-dialogues,videos-with-text,Bengali
1238,Friends Comedy,happy,self-spoken-dialogues,self-shot,Bengali
1239,Travel,neutral,self-spoken-monologues,self-shot,Bengali
1240,Heartbreak Romance,sad,self-spoken-monologues,videos-text-special-effects,Bengali
1241,Stunts,confidence,self-spoken-monologues,self-shot,Bengali
1242,Arts,neutral,background-song-with-lyrics,self-shot,Bengali
1243,Couple Romance,happy,lip-syncing,collab,Bengali
1244,Automobiles & Gadgets,neutral,background-song-with-lyrics,self-shot,Bengali
1245,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1246,Patriotism,affection,self-sung-song,movie/tv-show,Bengali
1247,Devotion,neutral,background-song-with-lyrics,slideshow,Bengali
1248,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1249,Onesided Romance,affection,lip-syncing,special-effects,Bengali
1250,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1251,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1252,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1253,Couple Romance,affection,lip-syncing,self-shot,Bengali
1254,Dance,happy,lip-syncing,special-effects,Bengali
1255,Couple Comedy,happy,lip-syncing,collab,Bengali
1256,Friends Comedy,happy,lip-syncing,collab,Bengali
1257,Kids Comedy,happy,lip-syncing,reaction videos,Bengali
1258,Couple Romance,affection,lip-syncing,videos-text-special-effects,Bengali
1259,Onesided Romance,affection,lip-syncing,special-effects,Bengali
1260,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1261,Dance,happy,lip-syncing,collab,Bengali
1262,Heartbreak Romance,sad,lip-syncing,reaction videos,Bengali
1263,Dance,happy,lip-syncing,self-shot,Bengali
1264,Sports,happy,background-song-with-lyrics,videos-with-text,Bengali
1265,Patriotism,affection,lip-syncing,special-effects,Bengali
1266,Arts,neutral,background-song-with-lyrics,self-shot,Bengali
1267,Onesided Romance,happy,lip-syncing,self-shot,Bengali
1268,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1269,Fashion,neutral,background-song-with-lyrics,self-shot,Bengali
1270,Couple Romance,affection,lip-syncing,collab,Bengali
1271,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1272,Couple Comedy,happy,lip-syncing,collab,Bengali
1273,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1274,Heartbreak Romance,sad,lip-syncing,collab,Bengali
1275,Food,neutral,noise,self-shot,Bengali
1276,Couple Romance,affection,lip-syncing,collab,Bengali
1277,Fashion,neutral,background-song-with-lyrics,videos-with-text,Bengali
1278,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1279,Music,happy,self-sung-song,collab,Bengali
1280,Couple Romance,affection,lip-syncing,self-shot,Bengali
1281,Couple Romance,affection,lip-syncing,collab,Bengali
1282,Automobiles & Gadgets,neutral,self-spoken-monologues,self-shot,Bengali
1283,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1284,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1285,Onesided Romance,happy,lip-syncing,self-shot,Bengali
1286,Family Comedy,happy,lip-syncing,self-shot,Bengali
1287,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1288,Food,neutral,self-spoken-monologues,self-shot,Bengali
1289,Magic,surprise,self-spoken-monologues,self-shot,Bengali
1290,Devotion,neutral,background-song-with-lyrics,slideshow,Bengali
1291,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1292,Couple Comedy,happy,lip-syncing,collab,Bengali
1293,Family Comedy,happy,lip-syncing,self-shot,Bengali
1294,Couple Comedy,happy,lip-syncing,collab,Bengali
1295,Couple Comedy,happy,self-spoken-monologues,reaction videos,Bengali
1296,Couple Comedy,happy,self-spoken-dialogues,special-effects,Bengali
1297,Music,happy,self-sung-song,self-shot,Bengali
1298,Heartbreak Romance,affection,background-song-with-lyrics,animation,Bengali
1299,Nature,neutral,self-spoken-dialogues,self-shot,Bengali
1300,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1301,Sports,happy,lip-syncing,self-shot,Bengali
1302,Magic,surprise,self-spoken-monologues,self-shot,Bengali
1303,Arts,surprise,background-song-with-lyrics,self-shot,Bengali
1304,Heartbreak Romance,anger,lip-syncing,reaction videos,Bengali
1305,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1306,Onesided Romance,neutral,lip-syncing,self-shot,Bengali
1307,Automobiles & Gadgets,neutral,self-sung-song,self-shot,Bengali
1308,Fashion,neutral,background-song-with-lyrics,special-effects,Bengali
1309,Arts,neutral,lip-syncing,reaction videos,Bengali
1310,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1311,Nature,neutral,self-spoken-monologues,videos-with-text,Bengali
1312,Travel,affection,background-song-with-lyrics,self-shot,Bengali
1313,Onesided Romance,happy,lip-syncing,self-shot,Bengali
1314,Onesided Romance,affection,lip-syncing,self-shot,Bengali
1315,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1316,Couple Romance,affection,lip-syncing,self-shot,Bengali
1317,Cartoons,happy,background-song-with-lyrics,animation,Bengali
1318,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1319,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1320,Couple Romance,affection,lip-syncing,collab,Bengali
1321,Couple Romance,affection,lip-syncing,self-shot,Bengali
1322,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1323,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1324,Music,happy,self-sung-song,reaction videos,Bengali
1325,Heartbreak Romance,sad,lip-syncing,collab,Bengali
1326,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1327,Devotion,affection,background-song-with-lyrics,slideshow,Bengali
1328,Couple Romance,happy,lip-syncing,self-shot,Bengali
1329,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1330,Stunts,confidence,background-song-with-lyrics,videos-text-special-effects,Bengali
1331,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1332,Celeb,happy,background-song-with-lyrics,slideshow,Bengali
1333,Couple Romance,happy,background-song-with-lyrics,special-effects,Bengali
1334,Devotion,affection,self-spoken-monologues,special-effects,Bengali
1335,Patriotism,neutral,background-song-with-lyrics,videos-with-text,Bengali
1336,Friends Comedy,happy,self-spoken-dialogues,self-shot,Bengali
1337,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1338,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1339,Patriotism,neutral,self-spoken-dialogues,self-shot,Bengali
1340,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1341,Festival,neutral,self-spoken-monologues,self-shot,Bengali
1342,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1343,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1344,Heartbreak Romance,sad,lip-syncing,collab,Bengali
1345,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1346,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1347,Couple Romance,affection,lip-syncing,collab,Bengali
1348,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1349,Devotion,neutral,self-spoken-monologues,slideshow,Bengali
1350,Couple Romance,confidence,lip-syncing,collab,Bengali
1351,Travel,neutral,self-spoken-monologues,self-shot,Bengali
1352,Heartbreak Romance,happy,background-song-with-lyrics,videos-text-special-effects,Bengali
1353,Friends Comedy,happy,background-song-with-lyrics,self-shot,Bengali
1354,Heartbreak Romance,sad,self-spoken-monologues,videos-text-special-effects,Bengali
1355,Dance,happy,background-song-with-lyrics,collab,Bengali
1356,Sports,happy,self-spoken-dialogues,special-effects,Bengali
1357,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1358,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1359,Automobiles & Gadgets,neutral,self-spoken-monologues,self-shot,Bengali
1360,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1361,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1362,Couple Romance,affection,background-song-with-lyrics,videos-text-special-effects,Bengali
1363,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1364,Animals,neutral,background-song-with-lyrics,reaction videos,Bengali
1365,Patriotism,affection,background-song-with-lyrics,collab,Bengali
1366,Fitness,happy,lip-syncing,self-shot,Bengali
1367,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1368,Fails,happy,noise,special-effects,Bengali
1369,Family Comedy,happy,lip-syncing,self-shot,Bengali
1370,Dance,happy,background-song-with-lyrics,self-shot,Bengali
1371,Celeb,happy,background-song-with-lyrics,slideshow,Bengali
1372,Couple Romance,affection,lip-syncing,reaction videos,Bengali
1373,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1374,Photography,neutral,background-song-with-lyrics,special-effects,Bengali
1375,Fashion,surprise,self-spoken-monologues,self-shot,Bengali
1376,Festival,happy,background-song-with-lyrics,videos-text-special-effects,Bengali
1377,Stunts,confidence,background-song-with-lyrics,self-shot,Bengali
1378,Couple Romance,happy,lip-syncing,self-shot,Bengali
1379,Heartbreak Romance,sad,self-spoken-monologues,videos-text-special-effects,Bengali
1380,Onesided Romance,neutral,self-spoken-monologues,videos-text-special-effects,Bengali
1381,Dance,happy,lip-syncing,self-shot,Bengali
1382,Heartbreak Romance,sad,background-song-with-lyrics,reaction videos,Bengali
1383,Couple Romance,happy,lip-syncing,reaction videos,Bengali
1384,Couple Romance,happy,lip-syncing,reaction videos,Bengali
1385,Onesided Romance,happy,background-song-with-lyrics,special-effects,Bengali
1386,Onesided Romance,happy,lip-syncing,special-effects,Bengali
1387,Arts,neutral,background-song-with-lyrics,special-effects,Bengali
1388,Onesided Romance,happy,lip-syncing,self-shot,Bengali
1389,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1390,Heartbreak Romance,sad,self-spoken-monologues,videos-text-special-effects,Bengali
1391,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1392,Fails,happy,self-spoken-monologues,videos-text-special-effects,Bengali
1393,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1394,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1395,Sports,sad,background-song-with-lyrics,videos-text-special-effects,Bengali
1396,Onesided Romance,happy,lip-syncing,collab,Bengali
1397,Couple Comedy,happy,lip-syncing,collab,Bengali
1398,Pets,happy,background-song-with-lyrics,self-shot,Bengali
1399,Fashion,happy,background-song-with-lyrics,special-effects,Bengali
1400,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1401,Celeb,affection,self-spoken-dialogues,movie/tv-show,Bengali
1402,Stunts,confidence,noise,self-shot,Bengali
1403,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1404,Patriotism,neutral,self-spoken-monologues,self-shot,Bengali
1405,Couple Romance,affection,lip-syncing,collab,Bengali
1406,Couple Romance,happy,lip-syncing,self-shot,Bengali
1407,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1408,Couple Romance,affection,lip-syncing,special-effects,Bengali
1409,Dance,happy,lip-syncing,reaction videos,Bengali
1410,Kids Comedy,happy,self-spoken-monologues,self-shot,Bengali
1411,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1412,Couple Romance,happy,lip-syncing,collab,Bengali
1413,Food,happy,self-spoken-monologues,self-shot,Bengali
1414,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Bengali
1415,Family Comedy,happy,lip-syncing,special-effects,Bengali
1416,Nature,happy,background-song-with-lyrics,videos-with-text,Bengali
1417,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1418,Onesided Romance,happy,lip-syncing,special-effects,Bengali
1419,Food,neutral,self-spoken-monologues,self-shot,Bengali
1420,Couple Comedy,happy,self-spoken-dialogues,self-shot,Bengali
1421,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1422,Couple Romance,affection,lip-syncing,collab,Bengali
1423,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1424,Music,happy,self-sung-song,reaction videos,Bengali
1425,Pets,neutral,background-song-with-lyrics,self-shot,Bengali
1426,Patriotism,affection,background-song-with-lyrics,special-effects,Bengali
1427,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1428,Nature,sad,self-spoken-monologues,videos-text-special-effects,Bengali
1429,Patriotism,affection,background-song-with-lyrics,self-shot,Bengali
1430,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1431,Pets,neutral,background-song-with-lyrics,self-shot,Bengali
1432,Fashion,neutral,background-song-with-lyrics,self-shot,Bengali
1433,Couple Romance,affection,lip-syncing,collab,Bengali
1434,Heartbreak Romance,sad,background-song-with-lyrics,reaction videos,Bengali
1435,Festival,neutral,self-spoken-monologues,special-effects,Bengali
1436,Heartbreak Romance,happy,background-song-with-lyrics,videos-text-special-effects,Bengali
